accession	organism	gene_name	length	matches	comparison_length	score_percent	description
XM_002026671.2	Drosophila persimilis	LOC6601694	4204	914	3070	29.772	PREDICTED: Drosophila persimilis eukaryotic translation initiation factor 5B (LOC6601694), mRNA
XM_001967235.4	Drosophila ananassae	LOC6498795	5121	896	3070	29.1857	PREDICTED: Drosophila ananassae protein vav (LOC6498795), transcript variant X2, mRNA
XM_002100776.4	Drosophila yakuba	LOC6524972	7553	894	3070	29.1205	PREDICTED: Drosophila yakuba zinc finger protein hangover (LOC6524972), transcript variant X3, mRNA
XM_015190524.3	Drosophila yakuba	LOC6524972	7636	894	3070	29.1205	PREDICTED: Drosophila yakuba zinc finger protein hangover (LOC6524972), transcript variant X2, mRNA
XM_034284696.1	Drosophila guanche	LOC117591432	3254	891	3070	29.0228	PREDICTED: Drosophila guanche sphingosine kinase 2 (LOC117591432), mRNA
XM_052001915.1	Drosophila albomicans	LOC117577544	6444	890	3070	28.9902	PREDICTED: Drosophila albomicans homeobox protein 2 (LOC117577544), transcript variant X3, mRNA
XM_016184261.3	Drosophila simulans	LOC27208700	3192	887	3070	28.8925	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X8, mRNA
XM_044923778.1	Drosophila simulans	LOC27208700	3198	887	3070	28.8925	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X7, mRNA
XM_026993862.1	Drosophila persimilis	LOC6602875	4938	884	3070	28.7948	PREDICTED: Drosophila persimilis exportin-5 (LOC6602875), mRNA
XM_016184262.3	Drosophila simulans	LOC27208700	3192	883	3070	28.7622	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X9, mRNA
XM_039296753.2	Drosophila simulans	LOC27208700	3198	883	3070	28.7622	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X6, mRNA
XM_016184258.3	Drosophila simulans	LOC27208700	3258	881	3070	28.6971	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X5, mRNA
XM_044011277.1	Drosophila mojavensis	LOC6581042	6319	878	3070	28.5993	PREDICTED: Drosophila mojavensis 7SK snRNA methylphosphate capping enzyme bin3 (LOC6581042), transcript variant X3, mRNA
XM_034284380.1	Drosophila guanche	LOC117591218	3305	876	3070	28.5342	PREDICTED: Drosophila guanche low-density lipoprotein receptor (LOC117591218), transcript variant X3, mRNA
XM_044717553.1	Drosophila ananassae	LOC6501887	3083	873	3070	28.4365	PREDICTED: Drosophila ananassae moesin/ezrin/radixin homolog 1 (LOC6501887), transcript variant X9, mRNA
XM_032452400.2	Drosophila ananassae	LOC6501841	6008	872	3070	28.4039	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X21, mRNA
NM_001382040.1	Drosophila melanogaster	CG17687	4995	871	3070	28.3713	Drosophila melanogaster uncharacterized protein (CG17687), mRNA
XM_032726689.1	Drosophila sechellia	LOC6615873	5405	871	3070	28.3713	PREDICTED: Drosophila sechellia amyloid-beta-like protein (LOC6615873), transcript variant X9, mRNA
XM_015164392.3	Drosophila mojavensis	LOC6580734	4023	870	3070	28.3388	PREDICTED: Drosophila mojavensis nucleolin 2 (LOC6580734), transcript variant X3, mRNA
XM_034256617.2	Drosophila albomicans	LOC117573384	4133	869	3070	28.3062	PREDICTED: Drosophila albomicans vinculin (LOC117573384), transcript variant X1, mRNA
XM_034262646.2	Drosophila albomicans	LOC117577738	4682	868	3070	28.2736	PREDICTED: Drosophila albomicans protein bric-a-brac 1 (LOC117577738), transcript variant X1, mRNA
XM_030390529.1	Drosophila navojoa	LOC115565389	3287	868	3070	28.2736	PREDICTED: Drosophila navojoa voltage-dependent T-type calcium channel subunit alpha-1G-like (LOC115565389), transcript variant X2, mRNA
XM_032726789.1	Drosophila sechellia	LOC6620021	4651	867	3070	28.241	PREDICTED: Drosophila sechellia disintegrin and metalloproteinase domain-containing protein 11 (LOC6620021), transcript variant X6, mRNA
XM_030390192.1	Drosophila navojoa	LOC115565183	3724	867	3070	28.241	PREDICTED: Drosophila navojoa uncharacterized LOC115565183 (LOC115565183), transcript variant X1, mRNA
XM_020961046.1	Drosophila serrata	LOC110190514	3068	866	3068	28.2269	PREDICTED: Drosophila serrata uncharacterized LOC110190514 (LOC110190514), transcript variant X3, mRNA
