accession	organism	gene_name	length	matches	kmer_size	score_percent	reference_start	target_start	description
XM_014904126.3	Drosophila ananassae	LOC6501841	6530	33	50	66.0	50	635	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X23, mRNA
XM_032452393.2	Drosophila ananassae	LOC6501841	7153	33	50	66.0	50	640	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X11, mRNA
XM_032739054.2	Drosophila grimshawi	LOC6566078	4180	33	50	66.0	1175	3950	PREDICTED: Drosophila grimshawi small conductance calcium-activated potassium channel protein (LOC6566078), transcript variant X1, mRNA
XM_034262749.2	Drosophila albomicans	LOC117577815	4060	33	50	66.0	1200	3305	PREDICTED: Drosophila albomicans zinc finger CCCH domain-containing protein 18 (LOC117577815), transcript variant X1, mRNA
XM_039370095.2	Drosophila yakuba	LOC6524645	3576	33	50	66.0	1175	1725	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X16, mRNA
XM_039370089.2	Drosophila yakuba	LOC6524645	5616	33	50	66.0	1175	1725	PREDICTED: Drosophila yakuba cytosolic carboxypeptidase Nna1 (LOC6524645), transcript variant X10, mRNA
XM_026993932.1	Drosophila persimilis	LOC6601045	6360	33	50	66.0	75	5280	PREDICTED: Drosophila persimilis protein FAM135A (LOC6601045), transcript variant X2, mRNA
XM_026993931.1	Drosophila persimilis	LOC6601045	6390	33	50	66.0	75	5310	PREDICTED: Drosophila persimilis protein FAM135A (LOC6601045), transcript variant X1, mRNA
NM_001382063.1	Drosophila melanogaster	CG33143	5719	32	50	64.0	375	940	Drosophila melanogaster uncharacterized protein, transcript variant G (CG33143), mRNA
XM_039298051.2	Drosophila simulans	LOC27209395	7008	32	50	64.0	300	585	PREDICTED: Drosophila simulans double-stranded RNA-specific editase Adar (LOC27209395), transcript variant X5, mRNA
XM_039298050.2	Drosophila simulans	LOC27209395	6822	32	50	64.0	300	265	PREDICTED: Drosophila simulans double-stranded RNA-specific editase Adar (LOC27209395), transcript variant X2, mRNA
XM_016172395.3	Drosophila simulans	LOC6726342	3205	32	50	64.0	1200	2120	PREDICTED: Drosophila simulans coatomer subunit beta (LOC6726342), mRNA
XM_032726758.1	Drosophila sechellia	LOC6618057	6022	32	50	64.0	900	1945	PREDICTED: Drosophila sechellia partitioning defective 3 homolog (LOC6618057), transcript variant X6, mRNA
XM_032726755.1	Drosophila sechellia	LOC6618057	4843	32	50	64.0	900	1925	PREDICTED: Drosophila sechellia partitioning defective 3 homolog (LOC6618057), transcript variant X2, mRNA
XM_032452269.2	Drosophila ananassae	LOC6504504	6923	32	50	64.0	200	4930	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X7, mRNA
XM_032452263.2	Drosophila ananassae	LOC6504504	7353	32	50	64.0	200	5360	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X1, mRNA
XM_001966827.4	Drosophila ananassae	LOC6501819	6144	32	50	64.0	1200	360	PREDICTED: Drosophila ananassae proline-rich protein 36 (LOC6501819), transcript variant X2, mRNA
XM_044717553.1	Drosophila ananassae	LOC6501887	3083	32	50	64.0	1050	1680	PREDICTED: Drosophila ananassae moesin/ezrin/radixin homolog 1 (LOC6501887), transcript variant X9, mRNA
XM_015186255.2	Drosophila pseudoobscura	spri	5070	32	50	64.0	1200	3080	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X7, mRNA
XM_033385527.1	Drosophila pseudoobscura	spri	5805	32	50	64.0	1200	3815	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X4, mRNA
XM_033385526.1	Drosophila pseudoobscura	spri	6670	32	50	64.0	1200	4680	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X3, mRNA
XM_047009258.1	Drosophila willistoni	LOC6649506	5097	32	50	64.0	1200	2380	PREDICTED: Drosophila willistoni uncharacterized LOC6649506 (LOC6649506), transcript variant X2, mRNA
XM_032440553.2	Drosophila virilis	kek5	7249	32	50	64.0	375	4095	PREDICTED: Drosophila virilis kekkon 5 (kek5), transcript variant X1, mRNA
XM_070206626.1	Drosophila virilis	1	7332	32	50	64.0	1200	4940	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X4, mRNA
XM_032439536.2	Drosophila virilis	1	7382	32	50	64.0	1200	4990	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X3, mRNA
XM_032439535.2	Drosophila virilis	1	7396	32	50	64.0	1200	5005	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X1, mRNA
XM_043216303.1	Drosophila grimshawi	LOC6566000	4562	32	50	64.0	675	3370	PREDICTED: Drosophila grimshawi regulatory-associated protein of mTOR (LOC6566000), transcript variant X1, mRNA
XM_032738429.2	Drosophila grimshawi	LOC6565447	3847	32	50	64.0	250	690	PREDICTED: Drosophila grimshawi extracellular signal-regulated kinase 7 (LOC6565447), transcript variant X2, mRNA
XM_001991659.3	Drosophila grimshawi	LOC6565447	3917	32	50	64.0	250	690	PREDICTED: Drosophila grimshawi extracellular signal-regulated kinase 7 (LOC6565447), transcript variant X1, mRNA
XM_032738848.2	Drosophila grimshawi	LOC6565687	3967	32	50	64.0	1225	3260	PREDICTED: Drosophila grimshawi zinc finger CCCH domain-containing protein 18 (LOC6565687), mRNA
XM_052001861.1	Drosophila albomicans	LOC117577815	4197	32	50	64.0	1200	3400	PREDICTED: Drosophila albomicans zinc finger CCCH domain-containing protein 18 (LOC117577815), transcript variant X2, mRNA
XM_052008807.1	Drosophila albomicans	LOC117566904	6117	32	50	64.0	75	350	PREDICTED: Drosophila albomicans regulator of G-protein signaling 7 (LOC117566904), mRNA
XM_034257817.2	Drosophila albomicans	LOC117574120	3745	32	50	64.0	1175	1580	PREDICTED: Drosophila albomicans tyrosine-protein phosphatase non-receptor type 9 (LOC117574120), transcript variant X1, mRNA
XM_020961442.1	Drosophila serrata	LOC110190799	3143	32	50	64.0	1200	2230	PREDICTED: Drosophila serrata uncharacterized LOC110190799 (LOC110190799), transcript variant X1, mRNA
XM_020961017.1	Drosophila serrata	LOC110190501	3178	32	50	64.0	1200	1165	PREDICTED: Drosophila serrata glutamic acid-rich protein (LOC110190501), transcript variant X1, mRNA
XM_030390270.1	Drosophila navojoa	LOC115565226	3147	32	50	64.0	1200	1340	PREDICTED: Drosophila navojoa mucin-19 (LOC115565226), mRNA
XM_030390030.1	Drosophila navojoa	LOC115565066	3393	32	50	64.0	250	3100	PREDICTED: Drosophila navojoa histone deacetylase 4 (LOC115565066), mRNA
XM_018109778.2	Drosophila navojoa	LOC108657248	3588	32	50	64.0	1200	3210	PREDICTED: Drosophila navojoa zinc finger CCCH domain-containing protein 18 (LOC108657248), transcript variant X1, mRNA
XM_026993918.1	Drosophila persimilis	LOC6601003	3627	32	50	64.0	1175	3060	PREDICTED: Drosophila persimilis glutamate synthase [NADH], amyloplastic (LOC6601003), transcript variant X3, mRNA
XM_002026122.2	Drosophila persimilis	LOC6601003	6621	32	50	64.0	1175	3050	PREDICTED: Drosophila persimilis glutamate synthase [NADH], amyloplastic (LOC6601003), transcript variant X2, mRNA
NM_001414053.1	Drosophila melanogaster	CG10737	3286	31	50	62.0	700	340	Drosophila melanogaster uncharacterized protein, transcript variant AA (CG10737), mRNA
NM_001414055.1	Drosophila melanogaster	CG10737	3664	31	50	62.0	700	340	Drosophila melanogaster uncharacterized protein, transcript variant Z (CG10737), mRNA
NM_001414054.1	Drosophila melanogaster	CG10737	3370	31	50	62.0	700	340	Drosophila melanogaster uncharacterized protein, transcript variant Y (CG10737), mRNA
NM_001414088.1	Drosophila melanogaster	Tlk	5890	31	50	62.0	200	445	Drosophila melanogaster Tousled-like kinase (Tlk), transcript variant P, mRNA
NM_001414056.1	Drosophila melanogaster	br	5411	31	50	62.0	1200	865	Drosophila melanogaster broad (br), transcript variant S, mRNA
NM_001382078.1	Drosophila melanogaster	Tlk	5890	31	50	62.0	200	445	Drosophila melanogaster Tousled-like kinase (Tlk), transcript variant O, mRNA
XM_044923796.1	Drosophila simulans	LOC6725850	3300	31	50	62.0	1175	1585	PREDICTED: Drosophila simulans inositol-trisphosphate 3-kinase B (LOC6725850), transcript variant X1, mRNA
XM_032726809.1	Drosophila sechellia	LOC6618651	5944	31	50	62.0	200	5705	PREDICTED: Drosophila sechellia histone deacetylase 4 (LOC6618651), transcript variant X7, mRNA
XM_032726791.1	Drosophila sechellia	LOC6615006	4797	31	50	62.0	150	260	PREDICTED: Drosophila sechellia serine/threonine-protein kinase Tao (LOC6615006), transcript variant X1, mRNA
XM_001966997.4	Drosophila ananassae	LOC6504504	6714	31	50	62.0	200	6575	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X8, mRNA
XM_032452267.2	Drosophila ananassae	LOC6504504	7325	31	50	62.0	200	4955	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X5, mRNA
